Event Name,Genre,Segment,SubGenre,Type
My Chemical Romance: The Black Parade,Rock,Music,Alternative Rock,Undefined
My Chemical Romance: The Black Parade,Rock,Music,Alternative Rock,Undefined
Los Temerarios USA Tour,Latin,Music,Latin,Undefined
Los Temerarios USA Tour,Latin,Music,Latin,Undefined
OMD - Orchestral Manoeuvres in the Dark,Pop,Music,Pop,Undefined
Movements with Citizen,Rock,Music,Pop,Undefined
OMD - Orchestral Manoeuvres in the Dark,Pop,Music,Pop,Undefined
Puddles Pity Party,Pop,Music,Pop Rock,N/A
Kylie Minogue w/ Rita Ora,Pop,Music,Pop Rock,N/A
Current Joys,Pop,Music,Pop,Undefined
