Album ID,Album Name,Release Date,Total Tracks,Album Type
2AlPRfYeskAMxhJS00xjeP,The Beatles 1967 – 1970 (2023 Edition),2023-11-10,37,album
39Ti6Be9Ak2d6YbxlQo0Ba,The Beatles 1962 – 1966 (2023 Edition),2023-11-10,38,album
7C221PnWhYGv8Tc0xSbfdc,Revolver (Super Deluxe),2022-10-28,63,album
6emgUTDksZyhhWmtjM9FCs,Get Back (Rooftop Performance),2022-01-28,10,album
1BdxbYp1FaNejpDgtDo25V,Let It Be (Super Deluxe),2021-10-15,57,album
5iT3F2EhjVQVrO4PKhsP8c,Abbey Road (Super Deluxe Edition),2019-09-27,40,album
1WMVvswNzB9i2UMh9svso5,The Beatles,2018-11-09,107,album
0n9SWDBEftKwq09B01Pwzw,Live At The Hollywood Bowl,2016-09-09,17,album
0XRZpF083HqgygM0v1hQyE,Yellow Submarine Songtrack,2014-01-01,15,album
4KYcffwC5HgjJLdpQU9SjC,Let It Be... Naked (Remastered),2014-01-01,11,album
