Playlist ID,Name,Owner,Description,Total Tracks,Followers,Collaborative,Public
2CKnioFobYQRK3EEMf9Jr6,The Beatles Greatest Hits,Tristan Rioseco,,168,232197,False,True
37i9dQZF1DZ06evO2iBPiw,This Is The Beatles,Spotify,"This is The Beatles. The essential tracks, all in one playlist.",51,3614737,False,True
5oP2KIDIIMMLimsO5OMH4e,THE BEATLES - GREATEST HITS [OF ALL TIMES],allmächtig,Look At My Other Playlist Where Are You All Their Albums With Their Songs - In My Profile,54,18053,False,True
37i9dQZF1DXaKIA8E7WcJj,All Out 60s,Spotify,The biggest songs of the 1960s. Cover: The Beatles,150,3153096,False,True
21Gs9V9IfA9cw16tlznsHn,The Beatles: Best Of The Best,Best Of The Best,"A selection of the biggest and best tracks from The Fab Four -- John Lennon, Paul McCartney, George Harrison and Ringo Starr! Check out The Best Of The Best profile for more great playlists.",61,379748,False,True
37i9dQZF1E4BV5Wf9ansml,The Beatles Radio,Spotify,"With Simon & Garfunkel, The Kinks, The Doors and more",50,359391,False,True
37i9dQZF1EIYbMAD732Dl2,The Beatles Mix,Spotify,"<a href=spotify:playlist:37i9dQZF1EIXORj0eU3JB3>Simon & Garfunkel</a>, <a href=spotify:playlist:37i9dQZF1EIYvCtuSEIEsI>The Monkees</a> and <a href=spotify:playlist:37i9dQZF1EIVfWoqq1kMyZ>The Mamas & The Papas</a>",50,0,False,True
1O72F2ECjACsMPz8ZyjOmf,Here Comes The Sun - The Beatles,New Albums,Here Comes The Sun - The Beatles. It&#x27;s alright. Little Darling.,50,19406,False,True
6ZmqDRJKJf3v3LzYZAaGGU,The Beatles All Songs,Kleberson Willian,,216,28077,False,True
4ZuX2YvKAlym0a8VozqV1U,1960s Hits 💥 Classics,Filtr Sweden,"The best classics of the 60s – the decade when modern music history was born. Immortal hits by Bob Dylan, The Beatles, Aretha Franklin, Jimi Hendrix, Janis Joplin and more.",256,239648,False,True
