Track ID,Track Name,Duration (ms),Explicit,Track Number,Popularity,Playlist Count,Preview URL
4JaTNsbucUxF3FtKqt3IY3,Strawberry Fields Forever - 2015 Mix,252093,False,1,43,50,
5M8s9X2vuW1tv52uv4meCt,Penny Lane - 2017 Mix,180946,False,2,42,50,
5GuGzaaKHoOR3amXgvT2Pq,Sgt. Pepper's Lonely Hearts Club Band - 2017 Mix,122120,False,3,41,50,
0Q6YQlQHdFd6NfXjcHtijM,With A Little Help From My Friends - 2017 Mix,164373,False,4,41,50,
4GX8I8c7gMZn7mZFM9QAs0,Lucy In The Sky With Diamonds - 2017 Mix,210453,False,5,41,50,
6TiJhvluwaDgyymGDY2y3m,Within You Without You - 2017 Mix,311053,False,6,38,50,
58XoFUU8BAw3HIfMLSIxiL,A Day In The Life - 2017 Remix,307666,False,7,41,49,
1oycjiD4UpkHWxlegeYGzB,All You Need Is Love - 2015 Mix,229480,False,8,40,50,
64djpfqsxS3NG8Mofw3PGT,I Am The Walrus - 2023 Mix,275733,False,9,41,49,
4DbwxGR1g52bhICLYdVjK1,"Hello, Goodbye - 2015 Mix",209706,False,10,40,50,
4L3YeW5FI2GrRuL1dfr483,The Fool On The Hill - 2023 Mix,180306,False,11,40,50,
6QisqlBqPXRSKv2YxYDN03,Magical Mystery Tour - 2023 Mix,169000,False,12,40,50,
4oxfJlsIxYqG4jzcs1R8df,Lady Madonna - 2015 Mix,138706,False,13,51,50,
1RP85mAmvJ8baqjP53kFJu,Hey Jude - 2015 Mix,431453,False,14,66,50,
480xRq7FAfpALfOtysLj1T,Revolution - 2023 Mix,201813,False,15,41,50,
0mPGPWrPY9H7vL5phQXu7B,Back In The U.S.S.R - 2018 Mix,165826,False,1,38,50,
2d3XQmPoN1rq7zqM8Zs4h8,Dear Prudence - 2018 Mix,239960,False,2,38,50,
1V6aXW3pGFN0fzPh9P56N3,While My Guitar Gently Weeps - 2018 Mix,286786,False,3,39,50,
2bboWbWhFazeNTgTUXCejf,"Ob-La-Di, Ob-La-Da - 2018 Mix",191386,False,4,39,50,
0badTdtgXHJsKAGupbE55Q,Glass Onion - 2018 Mix,139613,False,5,36,50,
