Playlist ID,Title,Description,Published Date,Item Count
PL0jp-uZ7a4g_fh5IQ2IwEMPs2CYdmp7O2,Beatles '64,,2024-11-14T12:43:24Z,1
PL0jp-uZ7a4g-y5uBeFPjElILtDpCdICKD,Beatles American Tour,,2024-08-19T14:50:46.893336Z,7
PL0jp-uZ7a4g-ZCB7OfAwVsZWHr865HK26,The Beatles - Let It Be (2024),,2024-04-29T22:11:43Z,7
PL0jp-uZ7a4g8OKKCTAZdVhXfJEgxkm1DU,The Beatles - Red & Blue Albums (2023 Edition),"Remixed and Expanded: 'Red’ has 12 additional tracks, including for the first time some of George Harrison’s earliest songs and some classic Beatles versions of R&B and rock ‘n’ roll hits that were so influential on the band. ‘Blue’ has 9 additional tracks including “Blackbird,” “Glass Onion,” and the last new Beatles song, “Now And Then” for a total of 21 new additions.",2023-11-10T05:43:01Z,92
PL0jp-uZ7a4g_wUzbgU_US9V7h-HR1TyIh,Now And Then,,2023-10-29T10:18:05Z,7
PL0jp-uZ7a4g-Bo8JcrE2B4eqLnZRlT0X7,REVOLVER 2022,,2022-09-07T13:41:23Z,54
PL0jp-uZ7a4g8yAYvmdbQ2Uh8ZEgqrV0Qf,Let It Be Anniversary & Get Back Documentary,,2021-09-21T17:37:31Z,32
PL0jp-uZ7a4g9y2OkrZ2GkUqnpcw8gbuEo,Fans Around The World,,2019-12-09T20:37:43Z,0
PL0jp-uZ7a4g8LIe-l4bku8Irbsnev4IWW,Abbey Road Anniversary,,2019-08-14T15:47:51Z,12
PL0jp-uZ7a4g_oUvMt1-fTMZSYyDJqNSva,The Beatles - LOVE | Cirque Du Soleil (Official Playlist),,2019-06-03T14:31:12Z,17
