video_id,title,published_at,tags,category_id,view_count,like_count,comment_count,like_to_view_ratio,comment_to_view_ratio,duration
8UQK-UcRezE,Strawberry Fields Forever -  Restored HD Video,2015-09-15T13:04:50Z,"['Beatles', 'The Beatles', 'TheBeatles1', '1s', 'Song', 'Video', 'Preview', 'Restored', 'Restoration', 'Promo', 'Promotional', 'Film', 'George Harrison', 'Ringo Starr', 'John Lennon', 'Paul McCartney', 'John', 'Paul', 'George', 'Ringo', 'Trailer', 'BluRay', 'DVD', 'Process', 'Series', 'Extras', 'Making-Of', 'Making Of', 'Strawberry Fields', 'Strawberry Fields Forever']",10,29436432,125894,3603,0.004276809091536637,0.00012239934513802488,PT1M23S
vefJAtG-ZKI,Yellow Submarine Original Trailer - 1968 (Beatles Official),2012-03-20T15:08:19Z,"['Beatles', 'The Beatles', 'George Harrison', 'Ringo Starr', 'John Lennon', 'Paul McCartney', 'Yellow Submarine', 'Film', 'Animation', 'Movie', 'Song', 'John', 'Paul', 'George', 'Ringo', 'Bluray', 'Blu Ray', 'Blu-Ray', 'DVD', 'Clip']",10,12203131,79260,3073,0.006495054424966839,0.00025182061882315286,PT3M43S
Tb83rbm0IVI,The Beatles: Get Back | Official Trailer | Disney+,2021-10-13T13:00:34Z,"['The Beatles', 'Documentary', 'John Lennon', 'Paul McCartney', 'George Harrison', 'Ringo Starr', 'Peter Jackson', 'Billy Preston', 'Disney Plus', 'Let It Be', 'Let It Be Documentary', 'The Beatles Trailer', 'The Beatles Doc', 'Get Back', 'Get Back Documentary', 'Beatles Release Date', 'The Beatles FIlm', 'The Beatles Movie', 'The Beatles Series', 'The Beatles TV Series', 'The Beatles Story', 'George Martin', 'Yoko Ono', 'Disney', 'Get back Film']",10,5249680,140369,7411,0.026738582161198395,0.0014117050944057543,PT3M58S
385eTo76OzA,"Watch The Beatles rehearsing “Don’t Let Me Down” in ""The Beatles: Get Back""",2021-11-24T19:10:41Z,[],10,3201559,51123,2400,0.015968158013018034,0.0007496347873020613,PT1M59S
KgFTpwB_uII,Now And Then – The Last Beatles Song (Short Film Trailer),2023-10-26T12:51:56Z,[],10,2854090,43169,1894,0.015125311395225799,0.000663609066287328,PT35S
tHglEvMMaLU,Paperback Writer,2020-06-05T12:44:52Z,[],10,2478296,102887,1967,0.041515218521112895,0.0007936905034749683,PT30S
DGEX_7IqaC4,The Fool On The Hill,2011-10-31T16:27:47Z,"['the beatles', 'Beatles', 'The Beatles', 'George Harrison', 'Ringo Starr', 'John Lennon', 'Paul McCartney', 'Film', 'Movie', 'Clip', 'Magical', 'Mystery', 'Tour', 'Magical Mystery', 'Mystery Tour', 'John', 'Paul', 'George', 'Ringo', 'Video', 'Song', 'Fool', 'Fool On The Hill']",10,2123316,34406,1875,0.016203899937644702,0.0008830527344964198,PT1M5S
nSrCk1icisI,Watch the first clip from The Beatles: Get Back - which premieres on Disney+ from November 25,2021-11-12T14:25:00Z,[],10,1825449,45420,3071,0.024881549689966687,0.0016823258277826442,PT1M26S
ep7SqGjbQa8,Let It Be - 1s Preview,2016-05-23T15:04:35Z,"['Beatles', 'The Beatles', 'TheBeatles1', '1s', 'Song', 'Video', 'Preview', 'Restored', 'Restoration', 'Promo', 'Promotional', 'Film', 'George Harrison', 'Ringo Starr', 'John Lennon', 'Paul McCartney', 'John', 'Paul', 'George', 'Ringo', 'Let It Be']",10,1500726,16480,532,0.010981351692447522,0.00035449509104260203,PT46S
ssBUgHLdrCA,Here Comes the Sun,2011-07-29T20:28:41Z,"['beatles', 'bangladesh', 'the beatles', 'John Lennon', 'Ringo Starr', 'Paul McCartney', 'George Harrison', 'John', 'Paul', 'George', 'Ringo', 'Concert For Bangladesh', 'Bangladesh', 'Concert', 'Live', 'UNICEF', 'Here Comes The Sun', 'Sun', 'Here Comes', 'The Sun']",10,1408327,30623,671,0.021744239796581334,0.0004764518467657014,PT1M9S
DvYhIotxgOA,Michelle,2011-11-03T18:29:29Z,"['beatles', 'paul', 'mccartney', 'george', 'harrison', 'john', 'lennon', 'ringo', 'starr', 'the beatles', 'John Lennon', 'Ringo Starr', 'Paul McCartney', 'George Harrison', 'Beatles official', 'musicvideo', 'video', 'Michelle', 'Abbey Road', 'Studio', 'Abbey Road Studios', 'Song']",10,1377799,22929,879,0.01664175979224836,0.0006379740441094818,PT1M7S
mVsiIxE_6OM,The Long And Winding Road - 1s Preview,2015-11-03T14:31:03Z,"['The Long And Winding Road (Composition)', 'Beatles', 'The Beatles', 'TheBeatles1', '1s', 'Song', 'Video', 'Preview', 'Restored', 'Restoration', 'Promo', 'Promotional', 'Film', 'George Harrison', 'Ringo Starr', 'John Lennon', 'Paul McCartney', 'John', 'Paul', 'George', 'Ringo', 'Let It Be']",10,1370562,14814,757,0.010808704750314105,0.0005523281690284715,PT1M
W4L-2i7cmcM,GET THE BEATLES’ REVOLVER INTO YOUR LIFE WITH THE NEWLY MIXED AND EXPANDED SPECIAL EDITION,2022-09-26T16:25:16Z,[],10,1231364,6003,432,0.004875081616808677,0.00035083046117963495,PT1M4S
uOlwwoZLoKE,Yellow Submarine US Theatrical Trailer - 2018 (Beatles Official),2018-04-03T14:51:13Z,"['Beatles', 'The Beatles', 'George Harrison', 'Ringo Starr', 'John Lennon', 'Paul McCartney', 'Yellow Submarine', 'Film', 'Animation', '50th', 'Anniversary', 'Movie', 'Re-Release', 'Trailer', 'US', 'U.S.', 'U.S.A.', 'USA']",10,1191378,7323,337,0.006146663779253939,0.000282865723557091,PT2M5S
Cmqd6PYAvJ8,The Beatles - Let It Be | Special Edition Releases [Official Trailer],2021-08-26T13:03:44Z,"['The Beatles', 'Beatles', 'Beatls', 'Beatels', 'Let It Be', 'LIB', 'Trailer', 'Official', 'Official Trailer', 'John Lennon', 'Lennon', 'Paul McCartney', 'McCartney', 'George Harrison', 'Harrison', 'Ringo Starr', 'Starr', 'Special Edition', 'Super Deluxe', 'Music', 'Music Release', 'Apple', 'Apple Corps', 'Long And Winding Road', 'Across The Universe', 'Get Back', 'Remastered', 'Giles Martin', 'Glyn Johns', 'The Beatls', 'The Beatels', 'Dig A Pony', 'I Me Mine', ""I've Got A Feeling"", 'For You Blue', 'One After 909', 'Dig It', 'Maggie May', 'Two Of Us', 'SDE', 'LP']",10,1069337,14761,1134,0.013803880348290576,0.0010604701791857947,PT1M
sa3948JzWCc,The Inner Light,2020-03-26T16:50:55Z,['#innerlight2020'],10,1068458,30357,1817,0.02841197314260364,0.0017005815857993483,PT2M37S
FvR2_CCoX60,Let It Be Official Trailer,2024-04-30T01:03:41Z,[],10,990068,38938,2003,0.0393286117721207,0.002023093363284138,PT1M33S
Yx_7xjpySK0,"The Beatles At Home, From The Film Help!",2011-09-09T12:50:02Z,"['The Beatles', 'George Harrison', 'Ringo Starr', 'John Lennon', 'Paul McCartney', 'Beatles', 'Help', 'Help!', 'Film', 'Movie', 'Richard Lester', 'Dick Lester', 'Help! Film', 'Help Film', 'Home', 'Beatles At Home', 'John', 'Paul', 'George', 'Ringo']",10,949009,10405,744,0.0109640688339099,0.0007839757051829856,PT1M49S
G2uCNd1AVJo,Today Pepperland Goes Blue!,2012-05-17T12:39:18Z,"['blue meanies', 'Beatles', 'The Beatles', 'George Harrison', 'Ringo Starr', 'John Lennon', 'Paul McCartney', 'Yellow Submarine', 'Film', 'Animation', 'Movie', 'Clip', 'Pepperland', 'Blue', 'Meanies', 'Bluray', 'Blu Ray', 'Blu-Ray', 'DVD']",10,925797,10467,1019,0.01130593423828334,0.0011006732577444084,PT1M12S
npiczLJ3SEc,The Beatles ‘Red’ and ‘Blue’ albums (2023 editions) are out now!,2023-11-10T10:03:00Z,[],10,925094,8296,406,0.008967737332638628,0.0004388743197988529,PT52S
6wOsA-Bagpg,Celebrating the anniversary of our 1969 classic ‘Abbey Road’ with Amazon Music HD,2019-11-18T17:04:18Z,[],10,873726,16327,572,0.018686636313901613,0.000654667481567448,PT31S
aeZKBAGOYgg,‘That was one of the great things about John…’,2023-12-01T15:39:25Z,[],10,853189,53403,753,0.06259222751348177,0.000882571153636533,PT58S
sJTIeVxgSXc,All My Loving - Ed Sullivan,2013-01-16T15:14:43Z,"['Beatles', 'The Beatles', 'John Lennon', 'Ringo Starr', 'Paul McCartney', 'George Harrison', 'John', 'Paul', 'George', 'Ringo', 'All My Loving', 'Ed Sullivan', 'Sullivan', 'Performance', 'Beatles In The USA', 'Beatles In The US', 'Beatles In The U.S.', 'Beatles In The U.S.A.', 'First US Visit', 'First U.S. Visit', 'Maysles', 'David Maysles', 'Albert Maysles', 'Maysles Brothers']",10,841435,8601,299,0.010221823432588376,0.00035534533267572656,PT36S
Dd5WSqOJF7M,The Beatles REVOLVER Special Editions - Official Trailer,2022-09-07T12:53:29Z,"['Beatles', 'Beatle', 'Beatls', 'Beetles', 'The Beetles', 'Revolver', 'Official Video', 'Trailer', 'Album', 'Music', 'Video', 'John Lennon', 'Paul McCartney', 'George Harrison', 'Ringo Starr', 'Taxman', 'Yellow Submarine', 'Got To Get You Into My Life', ""I'm Only Sleeping"", 'Here There Everywhere', 'Eleanor Rigby', 'Good Day Sunshine', 'New Music', 'New Release', 'Special Edition', 'Apple Corps', 'Apple', 'Apple Records', 'Revolvr']",10,835956,13216,1081,0.015809444516218556,0.0012931302604443297,PT38S
RfNoXfJoESc,George Talks About Writing Here Comes The Sun #HereComesTheSun #BehindTheSong #RedAndBlue,2023-12-05T16:32:25Z,[],10,822765,49559,685,0.06023469641999842,0.0008325585069855913,PT52S
F8dooVupRSc,THE BEATLES NOW STREAMING,2015-12-23T10:41:08Z,"['George Harrison', 'Ringo Starr', 'John Lennon', 'Paul McCartney', 'John', 'George', 'Paul', 'Ringo', 'Beatles', 'The Beatles', 'Trailer', 'Album', 'Music']",10,815539,6397,560,0.007843892198901586,0.000686662440422837,PT35S
Vi2TIV3rYzc,Jeremy Hillary Boob PhD.,2012-06-05T17:55:31Z,"['Beatles', 'The Beatles', 'George Harrison', 'Ringo Starr', 'John Lennon', 'Paul McCartney', 'Yellow Submarine', 'Film', 'Animation', 'Movie', 'Clip', 'Jeremy', 'Hillary', 'Boob', 'PhD', 'PhD.', 'Jeremy Hillary Boob', 'Hilary', 'Jeremy Hilary Boob', 'Jeremy Hillary', 'Jeremy Hilary Boob PhD', 'Nowhere Man', 'Song', 'Nowhere', 'Man', 'Blu Ray', 'BluRay', 'Blu-Ray', 'DVD']",10,744238,9630,575,0.012939409167497494,0.0007726023127010446,PT43S
n_GOaRaTaJo,The Beatles Help!  Blu-Ray Trailer 2013,2015-05-15T11:11:19Z,"['The Beatles', 'George Harrison', 'Ringo Starr', 'John Lennon', 'Paul McCartney', 'Beatles', 'Help', 'Help!', 'Film', 'Movie', 'Help! 2013', 'Help 2013', 'Making-Of', 'Making Of', 'Richard Lester', 'Dick Lester', 'Extras', 'Help! Film', 'Help Film', 'Trailer']",10,696388,6237,169,0.008956214064573198,0.00024268080437916793,PT30S
MM7v61MvHco,🎶  We’ve got a feeling 🎶  you won’t want to miss this.,2022-01-14T15:55:21Z,[],10,686366,15855,811,0.02309992045060507,0.0011815853349379194,PT50S
9lhYYFxFDHo,"The Beatles Get Back - ""We've Never Learned So Many New Numbers At Once""",2021-11-26T11:12:28Z,[],10,685113,10345,570,0.015099698881790304,0.0008319795420609447,PT58S
xXNv9CwrAOk,The Beatles: GetBack - The Rooftop Concert in IMAX,2022-01-20T22:31:18Z,[],10,675756,10749,513,0.01590662901994211,0.0007591497522774493,PT46S
MmDZbjI8nHw,I've Got A Feeling,2015-05-15T11:11:19Z,"['the beatles', 'John Lennon', 'Ringo Starr', 'Paul McCartney', 'George Harrison', 'Beatles official', 'Apple Corps', 'Apple Records']",10,674582,16157,474,0.02395112825423744,0.0007026573492918578,PT47S
C3VjYK4-mFQ,“It looks like it was just shot yesterday.”,2021-12-05T23:26:43Z,[],10,674519,14927,860,0.022129843636724836,0.0012749826172428057,PT2M35S
CC8M2MyZN_M,"""There's More Here Than Meets The Eye"" - Scene from Help!",2013-01-16T15:33:54Z,"['The Beatles', 'George Harrison', 'Ringo Starr', 'John Lennon', 'Paul McCartney', 'Beatles', 'Help', 'Help!', 'Film', 'Movie', 'Help! 2013', 'Help 2013', 'Making-Of', 'Making Of', 'Richard Lester', 'Dick Lester', 'Help! Film', 'Help Film']",10,670131,9620,662,0.014355402152713425,0.0009878665514653105,PT1M8S
cFz1SP9SXwU,Please Please Me Mini-Documentary,2013-03-22T12:34:34Z,"['Beatles', 'The Beatles', 'John Lennon', 'Ringo Starr', 'Paul McCartney', 'George Harrison', 'Making Of', 'Making-Of', 'Remaster', 'Album', 'Stereo Vinyl', 'Please Please Me', 'Documentary', 'Doc', 'Mini Doc', 'Mini-Doc', 'Extras']",10,663730,7247,306,0.010918596417217845,0.0004610308408539617,PT3M52S
